ANNO;CODICE_MESE;NOME_MESE;CODICE_PRODOTTO;NOME_PRODOTTO;PREZZO;IVA;ACCISA;NETTO
1998;10;Ottobre;1;Benzina;904,22;150,70;527,96;225,55
1998;10;Ottobre;2;Diesel;700,28;116,71;386,04;197,53
1998;10;Ottobre;3;Gasolio riscaldamento;691,42;115,24;386,04;190,15
1998;10;Ottobre;5;GPL;444,60;74,10;168,06;202,45
1998;10;Ottobre;6;O.C. fluido BTZ;374,53;62,42;143,03;169,08
1998;10;Ottobre;7;O.C. ATZ;136,79;0,00;46,48;90,31
1998;10;Ottobre;8;O.C. denso BTZ;118,38;0,00;23,24;95,14
1998;11;Novembre;1;Benzina;897,64;149,61;527,96;220,07
1998;11;Novembre;2;Diesel;700,13;116,69;386,04;197,40
1998;11;Novembre;3;Gasolio riscaldamento;692,47;115,41;386,04;191,02
1998;11;Novembre;5;GPL;455,74;75,96;168,06;211,73
1998;11;Novembre;6;O.C. fluido BTZ;371,44;61,91;143,03;166,50
1998;11;Novembre;7;O.C. ATZ;132,56;0,00;46,48;86,08
1998;11;Novembre;8;O.C. denso BTZ;113,26;0,00;23,24;90,02
1998;12;Dicembre;1;Benzina;885,21;147,54;527,96;209,71
1998;12;Dicembre;2;Diesel;690,57;115,09;386,04;189,44
1998;12;Dicembre;3;Gasolio riscaldamento;687,20;114,53;386,04;186,63
1998;12;Dicembre;5;GPL;464,96;77,49;168,06;219,41
1998;12;Dicembre;6;O.C. fluido BTZ;368,32;61,39;143,03;163,90
1998;12;Dicembre;7;O.C. ATZ;127,58;0,00;46,48;81,10
1998;12;Dicembre;8;O.C. denso BTZ;108,08;0,00;23,24;84,84
1998;13;Anno;1;Benzina;909,21;151,53;527,96;229,71
1998;13;Anno;2;Diesel;710,51;118,42;386,04;206,05
1998;13;Anno;3;Gasolio riscaldamento;700,97;116,83;386,04;198,10
1998;13;Anno;5;GPL;449,17;74,86;168,06;206,25
1998;13;Anno;6;O.C. fluido BTZ;381,50;63,58;143,03;174,88
1998;13;Anno;7;O.C. ATZ;135,20;0,00;46,48;88,72
1998;13;Anno;8;O.C. denso BTZ;122,95;0,00;23,24;99,71
1998;14;Primo Trimestre;1;Benzina;922,90;153,81;527,96;241,13
1998;14;Primo Trimestre;2;Diesel;728,84;121,48;386,04;221,32
1998;14;Primo Trimestre;3;Gasolio riscaldamento;718,32;119,72;386,04;212,56
1998;14;Primo Trimestre;5;GPL;457,32;76,22;168,06;213,04
1998;14;Primo Trimestre;6;O.C. fluido BTZ;396,49;66,08;143,03;187,38
1998;14;Primo Trimestre;8;O.C. denso BTZ;130,39;0,00;23,24;107,15
1998;15;Secondo Trimestre;1;Benzina;911,01;151,84;527,96;231,21
1998;15;Secondo Trimestre;2;Diesel;715,57;119,26;386,04;210,27
1998;15;Secondo Trimestre;3;Gasolio riscaldamento;700,05;116,68;386,04;197,33
1998;15;Secondo Trimestre;5;GPL;444,90;74,15;168,06;202,69
1998;15;Secondo Trimestre;6;O.C. fluido BTZ;382,05;63,68;143,03;175,34
1998;15;Secondo Trimestre;8;O.C. denso BTZ;126,43;0,00;23,24;103,19
1998;16;Terzo Trimestre;1;Benzina;909,84;151,64;527,96;230,24
1998;16;Terzo Trimestre;2;Diesel;702,99;117,17;386,04;199,78
1998;16;Terzo Trimestre;3;Gasolio riscaldamento;681,57;113,59;386,04;181,94
1998;16;Terzo Trimestre;5;GPL;439,34;73,22;168,06;198,06
1998;16;Terzo Trimestre;6;O.C. fluido BTZ;369,98;61,66;143,03;165,29
1998;16;Terzo Trimestre;8;O.C. denso BTZ;120,05;0,00;23,24;96,81
1998;17;Quarto Trimestre;1;Benzina;895,67;149,28;527,96;218,43
1998;17;Quarto Trimestre;2;Diesel;696,96;116,16;386,04;194,76
1998;17;Quarto Trimestre;3;Gasolio riscaldamento;690,34;115,06;386,04;189,24
1998;17;Quarto Trimestre;5;GPL;455,09;75,85;168,06;211,18
1998;17;Quarto Trimestre;6;O.C. fluido BTZ;371,43;61,91;143,03;166,49
1998;17;Quarto Trimestre;8;O.C. denso BTZ;113,24;0,00;23,24;90,00
1999;1;Gennaio;1;Benzina;885,59;147,60;534,23;203,76
1999;1;Gennaio;2;Diesel;696,47;116,08;393,79;186,60
1999;1;Gennaio;3;Gasolio riscaldamento;694,90;115,82;393,79;185,29
1999;1;Gennaio;5;GPL;465,66;77,61;162,89;225,16
1999;1;Gennaio;6;O.C. fluido BTZ;376,70;62,78;147,98;165,93
1999;1;Gennaio;7;O.C. ATZ;141,82;0,00;54,28;87,54
1999;1;Gennaio;8;O.C. denso BTZ;119,66;0,00;26,92;92,74
1999;2;Febbraio;1;Benzina;893,47;148,91;541,84;202,72
1999;2;Febbraio;2;Diesel;706,77;117,79;403,21;185,76
1999;2;Febbraio;3;Gasolio riscaldamento;695,93;115,99;403,21;176,72
1999;2;Febbraio;5;GPL;452,67;75,44;156,63;220,60
1999;2;Febbraio;6;O.C. fluido BTZ;371,72;48,03;153,99;169,70
1999;2;Febbraio;7;O.C. ATZ;144,14;0,00;63,75;80,39
1999;2;Febbraio;8;O.C. denso BTZ;120,66;0,00;31,39;89,27
1999;3;Marzo;1;Benzina;905,33;150,89;541,84;212,60
1999;3;Marzo;2;Diesel;717,09;119,51;403,21;194,36
1999;3;Marzo;3;Gasolio riscaldamento;701,78;116,96;403,21;181,60
1999;3;Marzo;5;GPL;460,31;76,72;156,63;226,97
1999;3;Marzo;6;O.C. fluido BTZ;390,61;35,51;166,84;188,26
1999;3;Marzo;7;O.C. ATZ;144,17;0,00;63,75;80,42
